cache,context,batch,status,exact_match_vs_bf16,tf_argmax_match,tf_logit_kl,prefill_ms_p50,prefill_ms_p10,prefill_ms_p90,decode_ms_tok_p50,decode_ms_tok_p10,decode_ms_tok_p90,tokens_per_s,peak_mem_mb,reserved_mem_mb,num_kv_heads,head_dim
dynamic_bf16,2048,1,ok,1.0,1.0,0.0,23.172,23.1475,23.3261,22.5302,22.3818,22.6443,44.38,1056.8,1130.0,2,64
static_bf16,2048,1,ok,1.0,1.0,0.0003973,35.2983,35.2777,35.4854,23.1161,22.8892,23.1696,43.26,1065.9,1126.0,2,64
quantized_int4,2048,1,ok,0.03077,0.92308,0.16824524,42.063,41.9722,42.3758,28.5517,28.4296,29.4021,35.02,1039.4,1104.0,2,64
dynamic_bf16,8192,1,ok,1.0,1.0,0.0,77.2727,76.9342,83.6088,21.8372,21.7357,21.9486,45.79,1340.8,1418.0,2,64
static_bf16,8192,1,ok,1.0,1.0,0.00108472,174.3641,174.15,181.5539,22.4764,22.3588,22.6839,44.49,1471.3,1728.0,2,64
quantized_int4,8192,1,ok,0.01538,0.41538,1.95008862,83.4299,83.2397,83.4487,28.6405,28.5072,28.7693,34.92,1270.7,1370.0,2,64
dynamic_bf16,16384,1,ok,1.0,1.0,0.0,182.4731,181.9947,182.617,21.8586,21.7709,21.9806,45.75,1722.9,1990.0,2,64
static_bf16,16384,1,ok,1.0,1.0,0.00025014,550.098,550.081,550.3997,35.1469,35.1145,35.2354,28.45,2379.8,2830.0,2,64
quantized_int4,16384,1,ok,0.01538,0.93846,0.18398111,189.1948,188.9148,189.2578,28.6617,28.5175,28.7964,34.89,1583.1,1740.0,2,64
dynamic_bf16,30720,1,ok,1.0,1.0,0.0,456.5182,455.0375,456.7902,21.8832,21.8159,21.9892,45.7,2398.1,2860.0,2,64
static_bf16,30720,1,ok,0.18462,0.98462,0.0002568,1725.8872,1725.6132,1726.17,60.8844,60.7239,60.9325,16.42,5303.0,6984.0,2,64
quantized_int4,30720,1,ok,0.18462,0.89231,0.32529446,467.5309,466.4478,469.8889,28.747,28.6643,28.8521,34.79,2134.6,2582.0,2,64
dynamic_bf16,2048,4,ok,1.0,1.0,0.0,60.5271,60.5193,60.5749,22.3447,22.2183,22.503,179.01,1339.3,1492.0,2,64
static_bf16,2048,4,ok,1.0,1.0,0.00030014,86.3593,86.305,86.3863,22.7471,22.6765,22.8644,175.85,1350.2,1492.0,2,64
quantized_int4,2048,4,ok,0.28846,0.95,0.23550943,67.0031,66.9235,67.4114,29.161,29.0676,29.4855,137.17,1269.1,1370.0,2,64
dynamic_bf16,8192,4,ok,1.0,1.0,0.0,273.7603,273.7009,273.9314,22.3884,22.3263,22.4943,178.66,2481.0,2848.0,2,64
static_bf16,8192,4,ok,1.0,1.0,0.00065395,632.8743,632.6255,634.1683,24.67,24.6479,24.689,162.14,2613.7,3184.0,2,64
quantized_int4,8192,4,ok,0.02692,0.80385,0.61359233,284.9531,284.3662,285.981,29.291,29.1786,29.421,136.56,2202.0,2634.0,2,64
dynamic_bf16,16384,4,ok,1.0,1.0,0.0,690.8895,690.3789,692.0582,22.4928,22.4231,22.6272,177.83,4002.9,4698.0,2,64
static_bf16,16384,4,ok,1.0,1.0,0.00033773,2127.093,2125.5163,2127.1135,42.6089,42.5878,42.6308,93.88,5090.9,5456.0,2,64
quantized_int4,16384,4,ok,0.08077,0.93462,0.17156287,712.4703,712.1451,713.0391,29.4336,29.3041,29.7046,135.9,3445.3,4272.0,2,64
dynamic_bf16,30720,4,ok,1.0,1.0,0.0,1788.8501,1786.6173,1789.9101,34.6707,34.6216,34.6999,115.37,6667.9,7924.0,2,64
static_bf16,30720,4,ok,0.79615,0.99615,0.00031017,6809.2378,6806.4194,6811.239,74.0866,74.0489,74.4194,53.99,12902.7,13650.0,2,64
quantized_int4,30720,4,ok,0.18077,0.88462,0.26348773,1826.5823,1823.2671,1827.3397,46.8245,46.7895,46.8589,85.43,5621.6,7122.0,2,64
