rotation,bin,edge_lo,edge_hi,density,coord_var_concentration
none,0,0.0,3.25,0.71277744,16.4625
none,1,3.25,6.5,0.10797755,16.4625
none,2,6.5,9.75,0.05561193,16.4625
none,3,9.75,13.0,0.02929942,16.4625
none,4,13.0,16.25,0.00357183,16.4625
none,5,16.25,19.5,0.01363627,16.4625
none,6,19.5,22.75,0.01462555,16.4625
none,7,22.75,26.0,0.00500743,16.4625
none,8,26.0,29.25,0.00020091,16.4625
none,9,29.25,32.5,0.00489044,16.4625
none,10,32.5,35.75,0.00773112,16.4625
none,11,35.75,39.0,0.00256348,16.4625
none,12,39.0,42.25,0.00064087,16.4625
none,13,42.25,45.5,0.00496674,16.4625
none,14,45.5,48.75,0.00040181,16.4625
none,15,48.75,52.0,0.00152079,16.4625
none,16,52.0,55.25,0.00332642,16.4625
none,17,55.25,58.5,0.0,16.4625
none,18,58.5,61.75,0.00136185,16.4625
none,19,61.75,65.0,0.00068029,16.4625
none,20,65.0,68.25,0.00280507,16.4625
none,21,68.25,71.5,0.00584793,16.4625
none,22,71.5,74.75,0.00232569,16.4625
none,23,74.75,78.0,0.0,16.4625
none,24,78.0,81.25,0.0,16.4625
none,25,81.25,84.5,8.011e-05,16.4625
none,26,84.5,87.75,0.00256348,16.4625
none,27,87.75,91.0,0.00244268,16.4625
none,28,91.0,94.25,0.00012207,16.4625
none,29,94.25,97.5,0.0,16.4625
none,30,97.5,100.75,0.0,16.4625
none,31,100.75,104.0,0.0,16.4625
none,32,104.0,107.25,0.0,16.4625
none,33,107.25,110.5,0.0,16.4625
none,34,110.5,113.75,0.00440852,16.4625
none,35,113.75,117.0,0.0005188,16.4625
none,36,117.0,120.25,0.00044123,16.4625
none,37,120.25,123.5,0.00396347,16.4625
none,38,123.5,126.75,0.00108465,16.4625
none,39,126.75,130.0,0.00260417,16.4625
dense,0,0.0,2.048061,0.42389283,3.6525
dense,1,2.048061,4.096122,0.20970631,3.6525
dense,2,4.096122,6.144183,0.06496198,3.6525
dense,3,6.144183,8.192244,0.03057116,3.6525
dense,4,8.192244,10.240305,0.01314157,3.6525
dense,5,10.240305,12.288365,0.02007955,3.6525
dense,6,12.288365,14.336426,0.01058453,3.6525
dense,7,14.336426,16.384487,0.01303592,3.6525
dense,8,16.384487,18.432549,0.0061374,3.6525
dense,9,18.432549,20.48061,0.01904223,3.6525
dense,10,20.48061,22.528669,0.01444109,3.6525
dense,11,22.528669,24.576731,0.02249658,3.6525
dense,12,24.576731,26.624792,0.00890572,3.6525
dense,13,26.624792,28.672852,0.01463582,3.6525
dense,14,28.672852,30.720913,0.01046489,3.6525
dense,15,30.720913,32.768974,0.01667865,3.6525
dense,16,32.768974,34.817036,0.01014923,3.6525
dense,17,34.817036,36.865097,0.01039106,3.6525
dense,18,36.865097,38.913158,0.00524772,3.6525
dense,19,38.913158,40.96122,0.00581793,3.6525
dense,20,40.96122,43.009281,0.0002011,3.6525
dense,21,43.009281,45.057343,0.0033729,3.6525
dense,22,45.057343,47.105404,0.00428676,3.6525
dense,23,47.105404,49.153465,0.01074872,3.6525
dense,24,49.153465,51.201527,0.00697999,3.6525
dense,25,51.201527,53.249588,0.00332326,3.6525
dense,26,53.249588,55.297649,0.00381074,3.6525
dense,27,55.297649,57.345711,0.00529481,3.6525
dense,28,57.345711,59.393768,0.01230916,3.6525
dense,29,59.393768,61.44183,0.0057352,3.6525
dense,30,61.44183,63.489891,0.00461387,3.6525
dense,31,63.489891,65.537949,0.00360582,3.6525
dense,32,65.537949,67.586014,0.00108569,3.6525
dense,33,67.586014,69.634071,0.0,3.6525
dense,34,69.634071,71.682137,0.0,3.6525
dense,35,71.682137,73.730194,0.00095968,3.6525
dense,36,73.730194,75.778259,0.00164699,3.6525
dense,37,75.778259,77.826317,0.0,3.6525
dense,38,77.826317,79.874382,0.0,3.6525
dense,39,79.874382,81.92244,0.00164317,3.6525
rht,0,0.0,2.552929,0.50902218,6.2063
rht,1,2.552929,5.105859,0.17549114,6.2063
rht,2,5.105859,7.658788,0.04106787,6.2063
rht,3,7.658788,10.211718,0.02989149,6.2063
rht,4,10.211718,12.764647,0.02571929,6.2063
rht,5,12.764647,15.317576,0.01777198,6.2063
rht,6,15.317576,17.870506,0.01917587,6.2063
rht,7,17.870506,20.423435,0.01254463,6.2063
rht,8,20.423435,22.976364,0.01103128,6.2063
rht,9,22.976364,25.529293,0.01956661,6.2063
rht,10,25.529293,28.082224,0.01552041,6.2063
rht,11,28.082224,30.635153,0.01435963,6.2063
rht,12,30.635153,33.188084,0.01254463,6.2063
rht,13,33.188084,35.741013,0.00991504,6.2063
rht,14,35.741013,38.293941,0.01250899,6.2063
rht,15,38.293941,40.84687,0.01323321,6.2063
rht,16,40.84687,43.399799,0.00505298,6.2063
rht,17,43.399799,45.952728,0.00641614,6.2063
rht,18,45.952728,48.505657,0.01099055,6.2063
rht,19,48.505657,51.058586,3.946e-05,6.2063
rht,20,51.058586,53.611515,0.00224138,6.2063
rht,21,53.611515,56.164444,0.00413402,6.2063
rht,22,56.164444,58.717373,0.00385019,6.2063
rht,23,58.717373,61.270302,0.00898336,6.2063
rht,24,61.270302,63.823231,0.00340599,6.2063
rht,25,63.823231,66.37616,0.00605848,6.2063
rht,26,66.37616,68.929092,0.0,6.2063
rht,27,68.929092,71.482018,0.0,6.2063
rht,28,71.482018,74.03495,0.00244758,6.2063
rht,29,74.03495,76.587875,0.0001591,6.2063
rht,30,76.587875,79.140808,0.0,6.2063
rht,31,79.140808,81.693741,0.0,6.2063
rht,32,81.693741,84.246666,0.00112387,6.2063
rht,33,84.246666,86.799599,0.00120151,6.2063
rht,34,86.799599,89.352524,0.00288796,6.2063
rht,35,89.352524,91.905457,0.0,6.2063
rht,36,91.905457,94.458382,0.0,6.2063
rht,37,94.458382,97.011314,0.0,6.2063
rht,38,97.011314,99.56424,0.0,6.2063
rht,39,99.56424,102.117172,0.00164317,6.2063
