t_s,util_gpu_pct,util_mem_pct,mem_used_mb,power_w,sm_clock_mhz
0.0003,0,0,8409.1,129.0,1410
0.1004,0,0,8409.1,129.0,1410
0.2005,62,17,8409.1,413.6,1395
0.3007,62,17,8409.1,413.6,1395
0.4008,62,17,8409.1,184.3,1410
0.5009,62,17,8409.1,178.4,1410
0.6010,57,17,8409.1,180.9,1410
0.7012,57,17,8409.1,175.3,1410
0.8013,40,12,8409.1,174.1,1410
0.9014,40,12,8409.1,178.4,1410
1.0016,39,11,8409.1,176.2,1410
1.1018,39,11,8409.1,164.6,1410
1.2020,40,12,8409.1,168.8,1410
1.3021,40,12,8409.1,173.8,1410
1.4024,40,12,8409.1,172.9,1410
1.5025,40,12,8409.1,167.6,1410
1.6027,40,12,8409.1,167.0,1410
1.7028,40,12,8409.1,173.3,1410
1.8030,40,12,8409.1,174.3,1410
1.9031,40,12,8409.1,169.5,1410
2.0033,40,12,8409.1,168.6,1410
2.1034,40,12,8409.1,173.3,1410
2.2036,40,12,8409.1,177.0,1410
2.3037,40,12,8409.1,173.2,1410
2.4039,40,12,8409.1,171.8,1410
2.5040,40,12,8409.1,169.2,1410
2.6042,40,12,8409.1,171.8,1410
2.7043,40,12,8409.1,173.3,1410
2.8045,40,12,8409.1,167.5,1410
2.9046,40,12,8409.1,172.5,1410
3.0048,40,12,8409.1,168.4,1410
3.1049,40,12,8409.1,170.9,1410
3.2051,40,12,8409.1,170.3,1410
3.3052,40,12,8409.1,174.9,1410
3.4054,40,12,8409.1,172.5,1410
3.5055,40,12,8409.1,171.8,1410
3.6056,40,12,8409.1,169.5,1410
3.7058,40,12,8409.1,169.5,1410
3.8059,40,12,8409.1,171.8,1410
3.9060,40,12,8409.1,171.5,1410
4.0061,40,12,8409.1,174.7,1410
4.1063,40,12,8409.1,172.5,1410
4.2064,40,12,8409.1,168.6,1410
4.3065,40,12,8409.1,166.9,1410
4.4067,40,12,8409.1,170.4,1410
4.5068,40,12,8409.1,170.7,1410
4.6070,40,12,8409.1,172.3,1410
4.7071,40,12,8409.1,172.3,1410
4.8072,41,12,8409.1,171.7,1410
4.9074,41,12,8409.1,168.6,1410
5.0075,40,12,8409.1,168.8,1410
5.1076,40,12,8409.1,171.9,1410
5.2078,40,12,8409.1,174.1,1410
5.3079,40,12,8409.1,170.7,1410
5.4081,40,12,8409.1,168.0,1410
5.5082,40,12,8409.1,168.6,1410
5.6083,40,12,8409.1,169.0,1410
5.7085,40,12,8409.1,168.0,1410
5.8086,41,12,8409.1,167.0,1410
