layer,rotation,quant_axis,bits,effective_bits,key_mse,key_cosine,ip_rmse,ip_bias,ip_max_abs,attn_kl
0,none,token,2.5,2.585,286.68203735,0.891581,1565.766602,-1565.165405,1746.899292,1.07168031
0,none,token,3.0,3.0,129.26197815,0.948299,1078.410889,-1077.779053,1241.24707,1.180305
0,none,token,3.5,3.4594,39.92488861,0.98221,466.580414,462.189514,571.034546,8.59844303
0,none,token,4.0,4.0,18.46348763,0.991392,325.030151,-324.775452,387.266937,0.78697127
0,none,channel,2.5,2.585,0.89922667,0.999682,1.332568,-0.242571,4.221436,0.01359062
0,none,channel,3.0,3.0,0.7164256,0.999756,1.104419,0.024605,2.669067,0.00891329
0,none,channel,3.5,3.4594,0.58385915,0.999795,0.786027,0.244791,1.803711,0.00428518
0,none,channel,4.0,4.0,0.44900501,0.999853,0.425969,-0.084565,1.119507,0.00141987
0,dense,token,2.5,2.585,61.93194962,0.972066,338.703064,319.995941,620.67334,26.07598495
0,dense,token,3.0,3.0,29.37878227,0.986503,193.641663,180.516678,271.359863,6.63621807
0,dense,token,3.5,3.4594,13.07906342,0.993843,227.188919,-89.714233,400.725708,39.45701218
0,dense,token,4.0,4.0,5.82739067,0.99725,46.450897,5.98558,106.844788,7.70035315
0,dense,channel,2.5,2.585,1.40725231,0.999512,6.212171,0.337055,14.993591,0.31905371
0,dense,channel,3.0,3.0,1.19820237,0.999598,4.049328,-0.387073,8.848328,0.12203006
0,dense,channel,3.5,3.4594,0.91317058,0.99965,2.930391,0.468776,7.539673,0.06104353
0,dense,channel,4.0,4.0,0.57720399,0.999764,2.163182,0.408518,5.13208,0.03282697
0,rht,token,2.5,2.585,98.25602722,0.95867,252.203552,-110.287025,456.246887,61.98773193
0,rht,token,3.0,3.0,50.23239899,0.977837,361.572906,-259.421356,798.581543,55.42136002
0,rht,token,3.5,3.4594,18.42961121,0.99147,173.640289,-120.779839,271.137207,31.358881
0,rht,token,4.0,4.0,9.28788471,0.995686,209.658966,-166.45874,420.319641,34.41779327
0,rht,channel,2.5,2.585,1.11769712,0.999602,5.890011,-0.278257,17.865417,0.22904578
0,rht,channel,3.0,3.0,0.93455023,0.999685,4.680909,-0.402454,13.066833,0.16816118
0,rht,channel,3.5,3.4594,0.79271007,0.999714,2.414169,-0.546883,5.054993,0.04516352
0,rht,channel,4.0,4.0,0.5286324,0.999786,2.108079,-0.200758,7.268799,0.03877484
11,none,token,2.5,2.585,0.78315449,0.948062,15.413713,-4.24808,69.630798,1.32682765
11,none,token,3.0,3.0,0.40719199,0.97183,10.677487,0.238121,44.41951,0.75794518
11,none,token,3.5,3.4594,0.20163268,0.985647,7.418889,-0.037654,31.196968,0.33455321
11,none,token,4.0,4.0,0.08892114,0.993598,5.250215,0.074134,20.225916,0.1441175
11,none,channel,2.5,2.585,0.54483855,0.962042,9.042233,-0.748163,32.731499,0.39072022
11,none,channel,3.0,3.0,0.26887581,0.981227,5.975158,-0.530521,21.334957,0.25960925
11,none,channel,3.5,3.4594,0.13319528,0.990447,4.068279,-0.296648,15.412804,0.08199234
11,none,channel,4.0,4.0,0.05924093,0.995697,2.978163,-0.024727,10.526695,0.04733301
11,dense,token,2.5,2.585,0.47723007,0.967207,12.082834,-0.992946,46.03017,0.98192549
11,dense,token,3.0,3.0,0.24103396,0.983009,8.582562,0.11241,39.454376,0.5078938
11,dense,token,3.5,3.4594,0.11888063,0.991497,6.332588,-0.012232,27.676857,0.20698801
11,dense,token,4.0,4.0,0.05289789,0.996168,4.154502,-0.16579,18.243679,0.12865283
11,dense,channel,2.5,2.585,0.49128073,0.96625,8.251152,-0.132399,35.880341,0.52697808
11,dense,channel,3.0,3.0,0.26235801,0.981544,5.994384,0.279278,26.436684,0.19713837
11,dense,channel,3.5,3.4594,0.12724097,0.990866,4.107771,-0.101884,16.729149,0.13247344
11,dense,channel,4.0,4.0,0.05585864,0.995963,2.783825,0.127472,13.328144,0.05427964
11,rht,token,2.5,2.585,0.52310097,0.964296,14.109303,-1.014564,69.7854,1.34175575
11,rht,token,3.0,3.0,0.26643288,0.981223,9.828061,0.156023,46.780602,0.5116514
11,rht,token,3.5,3.4594,0.12920889,0.990741,6.915917,0.314274,30.094017,0.35165358
11,rht,token,4.0,4.0,0.05778549,0.995825,4.847887,0.105007,20.901253,0.11500235
11,rht,channel,2.5,2.585,0.52169633,0.964022,8.969657,0.97311,40.833923,1.01728034
11,rht,channel,3.0,3.0,0.26748061,0.981029,5.630427,0.559342,23.727104,0.22765166
11,rht,channel,3.5,3.4594,0.13128923,0.990599,4.219359,-0.217117,16.651249,0.11342596
11,rht,channel,4.0,4.0,0.05867582,0.995751,2.631815,-0.037036,11.76545,0.06009952
23,none,token,2.5,2.585,0.64157987,0.946268,9.194587,-0.103479,39.024292,0.60469747
23,none,token,3.0,3.0,0.32595158,0.971038,6.870212,-1.179886,31.330713,0.28644675
23,none,token,3.5,3.4594,0.16303854,0.98525,4.509668,0.010842,24.069212,0.13987823
23,none,token,4.0,4.0,0.0719078,0.993415,2.939768,0.142581,13.722996,0.06335746
23,none,channel,2.5,2.585,0.23456082,0.978898,4.919462,0.033788,21.233307,0.17147157
23,none,channel,3.0,3.0,0.11890221,0.98917,3.663267,-0.215532,15.345778,0.09277466
23,none,channel,3.5,3.4594,0.05816144,0.994651,2.328919,-0.209009,11.233963,0.03989087
23,none,channel,4.0,4.0,0.0255548,0.997645,1.618505,-0.187336,7.909607,0.02113811
23,dense,token,2.5,2.585,0.34920052,0.969514,6.331374,0.480301,33.660889,0.29060116
23,dense,token,3.0,3.0,0.17822304,0.983915,4.728205,0.346478,23.234837,0.15673962
23,dense,token,3.5,3.4594,0.08859707,0.991911,3.234503,-0.144662,14.280081,0.07940138
23,dense,token,4.0,4.0,0.03962959,0.996359,2.247238,0.047606,10.92212,0.0333946
23,dense,channel,2.5,2.585,0.23772924,0.978703,3.510971,0.254117,17.532946,0.10529025
23,dense,channel,3.0,3.0,0.12148478,0.988994,2.609684,-0.204669,12.291188,0.04987372
23,dense,channel,3.5,3.4594,0.05866154,0.994627,1.768896,-0.277772,8.052971,0.02391652
23,dense,channel,4.0,4.0,0.02635744,0.997569,1.16653,-0.037385,5.633381,0.01042783
23,rht,token,2.5,2.585,0.35427135,0.968991,6.816133,-1.366622,31.316643,0.29967627
23,rht,token,3.0,3.0,0.18493949,0.983401,4.848063,0.701311,25.513966,0.15501006
23,rht,token,3.5,3.4594,0.09065644,0.991739,3.139352,0.200049,19.411085,0.06256078
23,rht,token,4.0,4.0,0.03993473,0.99633,2.367392,-0.080032,11.375562,0.03242573
23,rht,channel,2.5,2.585,0.23958917,0.978637,3.369859,0.201922,15.640526,0.08225563
23,rht,channel,3.0,3.0,0.12204883,0.988966,2.512789,0.008365,11.960091,0.04546704
23,rht,channel,3.5,3.4594,0.05913987,0.994575,1.817344,0.118348,8.299285,0.02368253
23,rht,channel,4.0,4.0,0.0262741,0.997581,1.167999,-0.018403,5.865223,0.01001309
