op,nq,nk,relerr,fused_ms,fused_p10,fused_p90,ref_ms,bf16_ms,speedup,speedup_vs_bf16,fused_peak_mb,ref_peak_mb,fused_gbs
logits,1,1024,0.0,0.1496,0.1367,0.1753,0.0853,0.0092,0.57,0.062,8.838,9.587,0.3
values,1,1024,1.9e-05,0.1553,0.155,0.1557,0.083,0.0108,0.535,0.069,8.961,9.71,0.3
logits,64,1024,0.0,0.1447,0.1358,0.176,0.0848,0.0083,0.586,0.057,9.495,10.229,2.2
values,64,1024,2.1e-05,0.1648,0.1641,0.1654,0.08,0.0126,0.485,0.077,9.383,10.117,1.9
logits,1,4096,1e-06,0.1406,0.1353,0.1677,0.083,0.0097,0.59,0.069,11.221,14.22,1.3
values,1,4096,7.2e-05,0.5775,0.577,0.5785,0.0824,0.0114,0.143,0.02,11.463,14.462,0.3
logits,64,4096,0.0,0.1424,0.1368,0.1715,0.0844,0.0101,0.593,0.071,13.485,16.469,8.6
values,64,4096,8.9e-05,0.6094,0.6086,0.6103,0.0856,0.0159,0.141,0.026,12.992,15.977,2.0
logits,1,8192,0.0,0.1428,0.1368,0.1693,0.0842,0.0095,0.59,0.067,14.815,20.813,2.5
values,1,8192,0.000154,1.1443,1.1435,1.1451,0.089,0.0125,0.078,0.011,14.799,20.798,0.3
logits,64,8192,0.0,0.1414,0.1365,0.1697,0.086,0.0116,0.609,0.082,18.805,24.789,17.3
values,64,8192,0.000169,1.2107,1.2092,1.2126,0.0849,0.0169,0.07,0.014,17.805,23.789,2.0
logits,1,16384,0.0,0.1411,0.1349,0.1694,0.0846,0.0146,0.6,0.104,21.502,33.501,5.1
values,1,16384,0.000301,2.2707,2.2697,2.2715,0.0878,0.014,0.039,0.006,21.471,33.47,0.3
logits,64,16384,0.0,0.1412,0.1362,0.1715,0.0813,0.0131,0.576,0.093,29.446,41.43,34.5
values,64,16384,0.000322,2.39,2.3887,2.392,0.0877,0.019,0.037,0.008,27.43,39.414,2.0
