rotation,residual_length,bits,stored_total_mb,packed_mb,scale_zero_mb,window_mb,bf16_mb,reduction_x,peak_alloc_mb,tf_argmax_match,tf_kl,gen_distinct_ratio
dense,32,4,13.8717,11.9971,1.4996,0.375,48.0,3.4603,1115.16,0.5625,2.868294,0.3125
dense,64,4,14.1412,11.9033,1.4879,0.75,48.0,3.3943,1115.44,0.5938,2.667008,0.5625
dense,128,4,14.6803,11.7158,1.4645,1.5,48.0,3.2697,1115.96,0.4062,3.661105,0.2188
dense,256,4,15.7584,11.3408,1.4176,3.0,48.0,3.046,1117.04,0.2812,4.722857,0.1875
rht,32,4,13.8717,11.9971,1.4996,0.375,48.0,3.4603,1115.15,0.9688,0.07345,0.9688
rht,64,4,14.1412,11.9033,1.4879,0.75,48.0,3.3943,1115.43,0.9688,0.128354,0.9688
rht,128,4,14.6803,11.7158,1.4645,1.5,48.0,3.2697,1115.94,0.9688,0.106771,0.9688
rht,256,4,15.7584,11.3408,1.4176,3.0,48.0,3.046,1117.02,1.0,0.024204,0.9688
none,32,4,13.8717,11.9971,1.4996,0.375,48.0,3.4603,1115.15,1.0,0.031146,0.9688
none,64,4,14.1412,11.9033,1.4879,0.75,48.0,3.3943,1115.43,1.0,0.030052,0.9688
none,128,4,14.6803,11.7158,1.4645,1.5,48.0,3.2697,1115.94,1.0,0.023331,0.9688
none,256,4,15.7584,11.3408,1.4176,3.0,48.0,3.046,1117.02,1.0,0.021811,0.9688
